Year,SPEI12,Number of Fires,Area Burned,Log Area Burned,Acres/Fire
1903,0.43,345,267587,12.4972,775.614
1904,-0.49,31,6958,8.8476,224.452
1905,-1,142,20316,9.9192,143.070
1906,-0.46,67,7621,8.9387,113.746
1907,0.06,33,4524,8.4172,137.091
1908,0.15,237,142130,11.8645,599.700
1909,-0.11,157,39028,10.5720,248.586
1910,-0.58,30,848,6.7429,28.267
1911,-1.6,202,111077,11.6180,549.886
1912,-0.2,99,20240,9.9154,204.444
1913,0.01,194,30214,10.3161,155.742
1914,-0.6,157,15716,9.6624,100.102
1915,-1.24,156,25657,10.1526,164.468
1916,-0.27,72,11616,9.3601,161.333
1917,0.83,28,458,6.1269,16.357
1918,0.19,79,8938,9.0981,113.139
1919,0.3,104,5020,8.5212,48.269
1920,0.06,165,39803,10.5917,241.230
1921,-0.65,362,68830,11.1394,190.138
1922,-0.99,216,21388,9.9706,99.019
1923,-0.49,181,70339,11.1611,388.613
1924,-0.9,220,40357,10.6055,183.441
1925,-0.82,115,6053,8.7083,52.635
1926,0.18,144,12212,9.4102,84.806
1927,-0.14,109,11620,9.3605,106.606
1928,0.95,64,2814,7.9424,43.970
1929,-0.24,168,2465,7.8099,14.673
1930,-0.92,263,33309,10.4136,126.650
1931,-0.99,226,4807,8.4778,21.270
1932,-0.25,321,42827,10.6649,133.417
1933,-0.16,281,15294,9.6352,54.430
1934,-0.09,266,136370,11.8231,512.669
1935,-0.29,301,18828,9.8431,62.550
1936,0.36,136,1640,7.4025,12.059
1937,0.16,262,5713,8.6505,21.805
1938,0.31,173,16139,9.6890,93.289
1939,-0.01,287,7433,8.9137,25.899
1940,-0.44,240,4111,8.3214,17.129
1941,-1.21,481,40350,10.6053,83.888
1942,-0.88,225,4993,8.5158,22.191
1943,-0.56,131,7168,8.8774,54.720
1944,-0.47,408,24203,10.0942,59.321
1945,0.4,214,4950,8.5071,23.131
1946,-0.37,576,10327,9.2425,17.929
1947,-0.46,700,213547,12.2716,305.067
1949,-1.42,763,21052,9.9548,27.591
1950,-1.21,951,18051,9.8010,18.981
1951,-0.95,421,3685,8.2120,8.753
1952,0.91,948,24695,10.1144,26.050
1953,0.41,877,14558,9.5859,16.600
1954,-0.21,341,3180,8.0646,9.330
1955,1.05,490,1782,7.4855,3.637
1956,1.24,443,2580,7.8555,5.824
1957,-0.69,726,30967,10.3407,42.654
1958,-1.58,221,1562,7.3537,7.068
1959,0.76,485,6571,8.7904,13.548
1960,-0.01,472,2810,7.9409,5.953
1961,0.91,402,2481,7.8164,6.172
1962,-0.02,463,3438,8.1426,7.430
1963,-0.24,544,1808,7.5000,3.324
1964,0.36,695,3582,8.1837,5.154
1965,-0.44,972,16480,9.7099,16.955
1966,-1.76,580,1361,7.2160,2.347
1967,-1.13,347,1619,7.3896,4.666
1968,-0.38,516,6248,8.7400,12.109
1969,-0.25,300,2399,7.7828,7.997
1970,0.15,430,1011,6.9187,2.351
1971,0.76,476,767,6.6425,1.611
1972,-0.37,430,1652,7.4097,3.842
1973,0.09,374,1508,7.3185,4.032
1974,1.59,684,2266,7.7258,3.313
1975,1.34,911,1973,7.5873,2.166
1976,-0.42,727,6360,8.7578,8.750
1977,1.03,975,10075,9.2178,10.333
1978,0.93,1024,3170,8.0615,3.100
1979,0.59,851,3829,8.2504,4.499
1980,0.39,1029,2255,7.7209,2.191
1981,-0.57,1027,3905,8.2700,3.802
1982,0.02,840,1529,7.3324,1.820
1983,0.53,651,1197,7.0876,1.839
1984,0.44,955,4653,8.4453,4.872
1985,1.42,1402,5460,8.6052,3.894
1986,-1.31,752,2904,7.9738,3.862
1987,-0.53,850,3537,8.1710,4.161
1988,-0.92,857,2375,7.7728,2.771
1989,-1.03,651,2404,7.7849,3.693
1990,-0.37,657,1275,7.1507,1.941
1991,0.36,1110,2797,7.9363,2.520
1992,0.93,761,4427,8.3955,5.817
1993,-0.07,824,1800,7.4955,2.184
1994,-0.66,609,2046,7.6236,3.360
1995,0.54,1054,1180,7.0733,1.120
1996,-0.75,342,419,6.0379,1.225
1997,0.77,667,919,6.8233,1.378
1998,0.59,677,1533,7.3350,2.264
1999,0.36,786,1066,6.9717,1.356
2000,-0.27,383,393,5.9738,1.026
2001,0.45,980,2220,7.7053,2.270
2002,-1,719,766,6.6412,1.065
2003,-0.86,634,844,6.7382,1.331
2004,-0.06,534,983,6.8906,1.841
2005,0.18,480,729,6.5917,1.520
2006,1,619,1772,7.4799,2.863
2007,1.91,491,425,6.0521,0.866
2008,1.12,456,544,6.2989,1.193
2009,1.44,484,481,6.1759,0.990
2010,1.68,562,342,5.8348,0.610
2011,0.94,310,118,4.7707,0.381
2012,1.39,579,474,6.1612,0.819
2013,0.52,579,730,6.5930,1.261
2014,0.31,334,226,5.4205,0.677
2015,1.02,412,645,6.4693,1.566
2016,0.15,742,858,6.7546,1.160
2017,-0.49,521,408.4,6.0122,0.780
2018,0.21,559,698,6.5482,1.250
2019,0.58,353,141.4,4.9516,0.401
2020,1.04,1150,1030,6.9373,0.896
2021,-0.5,629,373,5.9216,0.593
2022,-0.65,595,640,6.4615,1.076
2023,0.27,493,325,5.7838,0.659
2024,0.46,653,295,5.6870,0.450
2025,0.5,750,474,6.1612,0.630
