year,mortality_pct,relative_density,species_richness,gini_index,sequestration_MMTC,growth_to_harvest,forest_area_pct
2003,,0.519,6.03,0.387,,,90.0
2004,,0.527,5.95,0.385,,,89.8
2005,,0.530,6.00,0.386,,,89.9
2006,,0.534,6.05,0.387,,,90.0
2007,,0.538,6.05,0.387,,,89.8
2008,1.27,0.541,6.07,0.388,5.68,1.044,89.8
2009,1.19,0.546,6.31,0.388,11.17,1.087,89.8
2010,1.17,0.543,6.19,0.388,9.09,1.076,89.8
2011,1.12,0.545,6.45,0.392,10.28,1.169,89.7
2012,1.06,0.564,6.20,0.393,16.93,1.306,89.5
2013,1.03,0.577,6.15,0.393,17.30,1.433,89.5
2014,0.97,0.565,6.20,0.389,13.14,1.543,89.1
2015,0.92,0.556,6.09,0.389,18.68,1.645,89.1
2016,0.87,0.543,6.40,0.395,14.91,1.489,89.1
2017,0.84,0.575,6.25,0.393,17.51,1.518,89.2
2018,0.82,0.584,6.20,0.391,10.80,1.498,88.8
2019,0.87,0.563,6.21,0.389,16.32,1.431,88.8
2020,0.90,0.562,6.13,0.390,13.53,1.518,88.9
2021,0.97,0.545,6.42,0.397,14.81,1.683,88.8
2022,1.03,0.576,6.26,0.394,10.39,1.614,88.6
2023,1.06,0.575,6.25,0.393,14.42,1.660,88.4
2024,1.09,0.568,6.25,0.393,14.55,1.724,88.2
