Year,ASH,ASPEN/POPLAR,BEECH,CEDAR,HEMLOCK,MIXED HARDWOOD,OTHER SOFTWOODS,RED OAK,RED PINE,RED/WHITE MAPLE,SPRUCE & FIR,SUGAR MAPLE,WHITE BIRCH,WHITE OAK,WHITE PINE,YELLOW BIRCH
2000,92.0,43.0,42.0,,55.0,62.5,,251.0,41.0,69.0,130.0,198.0,125.0,154.0,156.0,92.0
2001,133.0,33.0,,,55.0,144.0,,268.0,,81.0,110.0,98.0,115.0,,147.0,
2002,126.0,53.0,,,52.0,184.0,,324.0,,79.0,96.0,123.0,136.0,,143.0,95.0
2003,123.0,53.0,65.0,65.0,56.0,125.66666666666667,81.5,265.0,92.0,103.0,113.0,232.0,127.0,248.0,156.0,153.0
2004,118.0,67.0,90.0,61.0,63.0,160.66666666666666,98.0,304.0,71.0,121.0,129.0,247.0,129.0,181.0,170.0,185.0
2005,129.0,83.0,81.0,80.0,62.0,,,285.0,74.0,117.0,161.0,287.0,122.0,148.0,184.0,190.0
2006,148.0,80.0,87.0,75.0,63.0,,,249.0,82.0,121.0,140.0,247.0,127.0,167.0,194.0,173.0
2007,150.0,59.0,66.0,70.0,71.0,,,251.0,72.0,111.0,131.0,222.0,119.0,145.0,181.0,150.0
2008,150.0,106.0,59.0,83.0,70.0,,,248.0,74.0,126.0,134.0,189.0,115.0,181.0,172.0,150.0
2009,161.0,75.0,82.0,96.0,70.0,,,202.0,66.0,110.0,123.0,172.0,128.0,144.0,169.0,186.0
2010,124.0,105.0,59.0,76.0,69.0,,,242.0,72.0,74.0,105.0,154.0,121.0,120.0,170.0,161.0
2011,165.0,107.0,93.0,121.0,73.0,,,211.0,54.0,123.0,141.0,186.0,127.0,148.0,172.0,191.0
2012,173.0,139.0,85.0,65.0,72.0,,,208.0,67.0,145.0,116.0,221.0,171.0,162.0,165.0,225.0
2013,164.0,66.0,137.0,65.0,70.0,,,237.0,53.0,122.0,114.0,225.0,141.0,122.0,161.0,198.0
2014,179.0,122.0,97.0,102.0,72.0,,,319.0,66.0,167.0,206.0,291.0,168.0,173.0,172.0,252.0
2015,175.0,130.0,81.0,118.0,73.0,,,291.0,71.0,185.0,205.0,300.0,170.0,186.0,172.0,276.0
2016,184.0,102.0,107.0,116.0,71.0,,,283.0,41.0,155.0,109.0,204.0,195.0,167.0,169.0,200.0
2017,169.0,78.0,94.0,136.0,58.0,,,293.0,64.0,135.0,122.0,183.0,158.0,162.0,171.0,163.0
2018,168.0,95.0,103.0,141.0,69.0,,,311.0,59.0,126.0,180.0,157.0,143.0,169.0,172.0,146.0
2019,197.0,98.0,133.0,104.0,67.0,,,265.0,72.0,157.0,128.0,254.0,158.0,135.0,175.0,198.0
2020,177.0,97.0,127.0,101.0,61.0,,,251.0,62.0,115.0,118.0,186.0,133.0,175.0,168.0,150.0
2021,213.0,83.0,119.0,101.0,62.0,,,311.0,44.0,197.0,148.0,353.0,160.0,122.0,176.0,217.0
2022,221.0,59.0,104.0,87.0,67.0,,,321.0,33.0,195.0,174.0,315.0,213.0,147.0,202.0,233.0
2023,248.0,106.0,101.0,77.0,50.0,,,285.0,59.0,187.0,143.0,274.0,257.0,192.0,229.0,259.0
2024,231.0,76.0,115.0,81.0,69.0,,,293.0,67.0,183.0,108.0,251.0,223.0,236.0,208.0,204.0
